iter	Logloss
0	0.6791951171
1	0.6675446548
2	0.6538465967
3	0.6438528813
4	0.6333285991
5	0.624635417
6	0.6135897167
7	0.6060717085
8	0.5969017529
9	0.5891271382
10	0.5812133266
11	0.5745734593
12	0.5676073133
13	0.5615288898
14	0.5579148379
15	0.5523385457
16	0.5487195468
17	0.5437412095
18	0.5371408951
19	0.5330299992
20	0.5284251232
21	0.523449458
22	0.5199571458
23	0.5169114722
24	0.5133604753
25	0.5104601547
26	0.5079784232
27	0.5059048708
28	0.5036245276
29	0.4994076775
30	0.4968190203
31	0.4929469237
32	0.4905682334
33	0.4889004733
34	0.4869476713
35	0.4840253555
36	0.4817593044
37	0.4794015158
38	0.4776659806
39	0.4757304449
40	0.4741487336
41	0.4722115346
42	0.4709963426
43	0.4693047582
44	0.4678917765
45	0.4663456545
46	0.4647802566
47	0.4630164345
48	0.4620354185
49	0.4613146285
50	0.4600842256
51	0.458466812
52	0.4570612571
53	0.4558445073
54	0.4547665824
55	0.4532849152
56	0.4519258792
57	0.4507563277
58	0.4500626869
59	0.4490106121
60	0.4480923595
61	0.4469053821
62	0.4457192633
63	0.4449834591
64	0.4438573331
65	0.4429555857
66	0.4420385867
67	0.4409635207
68	0.4402499389
69	0.4392014042
70	0.4383502606
71	0.4377231939
72	0.4370607043
73	0.4364362602
74	0.4360536063
75	0.4351387211
76	0.4342999833
77	0.4335706914
78	0.4329218375
79	0.4322903012
80	0.4314817683
81	0.4303046277
82	0.4296795288
83	0.4288483851
84	0.4283183736
85	0.4278198171
86	0.427204752
87	0.4265324693
88	0.4257888893
89	0.4253040922
90	0.4246785402
91	0.4238151613
92	0.4233556157
93	0.4228577356
94	0.4224014259
95	0.4218853876
96	0.4213696683
97	0.4208699517
98	0.4204462425
99	0.4198977578
100	0.4192771549
101	0.4185629329
102	0.4179157962
103	0.4174992841
104	0.4170530275
105	0.4163735655
106	0.4159680364
107	0.4154670836
108	0.4149642328
109	0.4145188084
110	0.4137656365
111	0.413041713
112	0.4125092386
113	0.4121065834
114	0.4116653639
115	0.4110657977
116	0.4107043276
117	0.4101420252
118	0.4098221954
119	0.409269545
120	0.4089211277
121	0.4085384544
122	0.4082161153
123	0.4078639605
124	0.4075061867
125	0.4068786127
126	0.4062675674
127	0.4058218772
128	0.4053546594
129	0.4048184451
130	0.4044250814
131	0.403928551
132	0.4036706698
133	0.4033439867
134	0.4029363205
135	0.4026641001
136	0.4022908599
137	0.4019547432
138	0.4017395277
139	0.4012121183
140	0.4009310181
141	0.4006797592
142	0.4004280491
143	0.4000655532
144	0.3995144481
145	0.3992344298
146	0.3988847261
147	0.39861678
148	0.3981204686
149	0.39783343
150	0.3976110513
151	0.3973375467
152	0.3970425941
153	0.3967877449
154	0.3965060442
155	0.3962529672
156	0.3958886466
157	0.3954062343
158	0.3952211948
159	0.3950546753
160	0.3947333766
161	0.3943265404
162	0.3940178392
163	0.3937895152
164	0.3934564651
165	0.3930871873
166	0.3927192571
167	0.3923960426
168	0.3918878529
169	0.3915661537
170	0.3912026976
171	0.390696587
172	0.3904444623
173	0.3901278714
174	0.389876662
175	0.3893531083
176	0.3890689163
177	0.3887882684
178	0.3886371772
179	0.3883335414
180	0.3878963739
181	0.3876575035
182	0.3874481151
183	0.3872698282
184	0.3869749505
185	0.3867387986
186	0.3865130849
187	0.3861186387
188	0.3858971904
189	0.3856963159
190	0.3853980195
191	0.385092742
192	0.3848098042
193	0.3844993092
194	0.3841922927
195	0.3838021911
196	0.3836291115
197	0.3833013509
