iter	Passed	Remaining
343	74066	141243
344	74308	141078
345	74515	140847
346	74727	140624
347	74949	140423
348	75171	140219
349	75384	139999
350	75595	139777
351	75801	139543
352	76007	139311
353	76214	139079
354	76429	138864
355	76636	138634
356	76843	138404
357	77048	138171
358	77265	137957
359	77487	137756
360	77698	137533
361	77907	137305
362	78117	137082
363	78322	136849
364	78551	136657
365	78759	136429
366	78970	136207
367	79177	135978
368	79395	135767
369	79610	135552
370	79815	135319
371	80028	135101
372	80233	134868
373	80438	134637
374	80670	134450
375	80906	134271
376	81157	134113
377	81394	133934
378	81669	133816
379	81908	133640
380	82135	133443
381	82357	133238
382	82594	133057
383	82843	132894
384	83071	132697
385	83309	132517
386	83533	132315
387	83766	132126
388	83993	131927
389	84210	131713
390	84450	131534
391	84661	131312
392	84897	131126
393	85128	130934
394	85351	130727
395	85583	130536
396	85802	130324
397	86048	130153
398	86263	129936
399	86482	129723
400	86703	129515
401	86935	129322
402	87160	129118
403	87405	128944
404	87629	128739
405	87847	128526
406	88081	128335
407	88315	128144
408	88528	127922
409	88736	127694
410	88944	127464
411	89158	127246
412	89365	127015
413	89572	126786
414	89779	126556
415	89988	126329
416	90210	126122
417	90424	125901
418	90642	125687
419	90845	125453
420	91057	125230
421	91280	125024
422	91487	124794
423	91692	124563
424	91897	124332
425	92108	124108
426	92339	123912
427	92546	123683
428	92762	123467
429	92970	123240
430	93176	123009
431	93391	122792
432	93599	122565
433	93815	122349
434	94026	122126
435	94234	121899
436	94448	121680
437	94653	121450
438	94868	121233
439	95087	121020
440	95327	120834
441	95549	120625
442	95754	120395
443	95962	120168
444	96169	119941
445	96377	119715
446	96599	119507
447	96807	119280
448	97015	119054
449	97225	118831
450	97432	118604
451	97644	118382
452	97850	118155
453	98063	117935
454	98271	117709
455	98481	117486
456	98697	117271
457	98904	117044
458	99119	116826
459	99329	116604
460	99533	116374
461	99758	116169
462	99963	115940
463	100185	115732
464	100394	115508
465	100603	115284
466	100817	115065
467	101025	114841
468	101241	114625
469	101459	114411
470	101670	114190
471	101881	113969
472	102090	113745
473	102297	113520
474	102502	113292
475	102708	113065
476	102918	112843
477	103125	112618
478	103335	112396
479	103541	112170
480	103755	111952
481	103963	111728
482	104174	111507
483	104379	111280
484	104587	111056
485	104794	110832
486	105003	110609
487	105221	110396
488	105426	110169
489	105631	109943
490	105854	109735
491	106070	109520
492	106278	109296
493	106483	109070
494	106689	108845
495	106896	108620
496	107110	108403
497	107319	108181
498	107530	107961
499	107735	107735
500	107953	107522
501	108182	107320
502	108399	107106
503	108604	106881
504	108820	106665
505	109033	106447
506	109245	106229
507	109450	106002
508	109654	105777
509	109863	105555
510	110070	105331
511	110290	105120
512	110494	104894
513	110700	104669
514	110906	104445
515	111114	104223
516	111331	104009
517	111537	103786
518	111741	103560
519	111946	103335
520	112154	103113
521	112370	102898
522	112575	102674
523	112782	102451
524	112990	102229
525	113197	102007
526	113412	101791
527	113617	101566
528	113823	101343
529	114031	101121
530	114238	100900
531	114453	100684
532	114659	100461
533	114864	100237
534	115072	100016
535	115316	99826
536	115527	99607
537	115734	99385
538	115941	99163
539	116150	98943
540	116357	98720
541	116573	98506
542	116799	98301
543	117008	98080
544	117222	97864
545	117452	97661
546	117664	97443
547	117878	97228
548	118085	97006
549	118296	96787
550	118512	96573
551	118719	96352
552	118927	96131
553	119135	95910
554	119346	95692
555	119555	95472
556	119770	95257
557	119978	95037
558	120184	94814
559	120397	94598
560	120601	94374
561	120827	94168
562	121039	93951
563	121269	93747
564	121473	93523
565	121687	93308
566	121910	93098
567	122157	92908
568	122366	92688
569	122572	92466
570	122783	92248
571	122992	92029
572	123201	91810
573	123426	91602
574	123630	91378
575	123848	91166
576	124059	90948
577	124265	90726
578	124472	90505
579	124676	90283
580	124884	90062
581	125091	89842
582	125304	89625
583	125522	89413
584	125727	89191
585	125939	88973
586	126157	88761
587	126393	88561
588	126599	88340
589	126805	88118
590	127030	87911
591	127242	87694
592	127449	87474
593	127686	87274
594	127910	87065
595	128172	86882
596	128391	86669
597	128597	86448
598	128808	86230
599	129015	86010
600	129225	85792
601	129431	85570
602	129636	85349
603	129842	85128
604	130050	84908
605	130264	84693
606	130478	84477
607	130684	84256
608	130888	84034
609	131096	83815
610	131310	83600
611	131516	83379
612	131720	83158
613	131924	82936
614	132134	82718
615	132369	82516
616	132578	82297
617	132784	82077
618	132988	81855
619	133198	81637
620	133408	81420
621	133622	81204
622	133829	80984
623	134034	80764
624	134250	80550
625	134472	80339
626	134677	80118
627	134883	79898
628	135090	79679
629	135303	79463
630	135536	79260
631	135741	79039
632	135948	78820
633	136157	78602
634	136365	78383
635	136584	78170
636	136790	77951
637	136996	77731
638	137204	77513
639	137412	77294
640	137628	77080
641	137834	76861
642	138041	76641
643	138260	76429
644	138467	76210
645	138698	76005
646	138904	75785
647	139111	75566
648	139316	75346
649	139521	75126
650	139728	74908
651	139929	74686
652	140139	74469
653	140341	74247
654	140548	74029
655	140783	73825
656	140995	73609
657	141204	73391
658	141418	73177
659	141623	72957
660	141832	72740
661	142039	72521
662	142254	72307
663	142462	72089
664	142667	71869
665	142907	71668
666	143134	71460
667	143339	71240
668	143541	71020
669	143754	70804
670	143970	70590
671	144178	70372
672	144382	70153
673	144597	69938
674	144801	69719
675	145028	69510
676	145256	69302
677	145477	69091
678	145684	68872
679	145893	68655
680	146098	68436
681	146310	68220
682	146514	68001
683	146719	67782
684	146932	67567
685	147162	67360
686	147373	67143
687	147581	66926
688	147786	66707
689	147993	66489
690	148214	66278
691	148422	66060
692	148628	65842
693	148833	65623
694	149040	65406
695	149254	65191
696	149472	64978
697	149680	64761
698	149885	64542
699	150091	64325
700	150312	64113
701	150517	63894
702	150734	63681
703	150941	63463
704	151151	63247
705	151363	63032
706	151572	62815
707	151778	62598
708	151984	62379
709	152193	62163
710	152416	61952
711	152622	61734
712	152827	61516
713	153032	61298
714	153240	61081
715	153454	60867
716	153663	60650
717	153876	60436
718	154088	60221
719	154296	60004
720	154519	59793
721	154751	59585
722	154984	59378
723	155283	59196
724	155615	59026
725	155853	58820
726	156079	58610
727	156287	58393
728	156506	58180
729	156714	57962
730	156922	57745
731	157133	57529
732	157348	57315
733	157566	57101
734	157771	56883
735	157978	56666
736	158190	56450
737	158407	56236
738	158635	56026
739	158847	55811
740	159051	55592
741	159256	55374
742	159463	55157
743	159686	54945
744	159890	54727
745	160097	54510
746	160304	54293
747	160516	54077
748	160738	53865
749	160946	53648
750	161152	53431
751	161357	53213
752	161566	52997
753	161795	52787
754	162001	52569
755	162206	52352
756	162411	52134
757	162619	51918
758	162855	51710
759	163065	51494
760	163276	51278
761	163483	51061
762	163692	50845
763	163918	50634
764	164124	50417
765	164340	50203
766	164548	49986
767	164768	49773
768	165010	49567
769	165217	49350
770	165425	49134
771	165637	48918
772	165846	48702
773	166061	48488
774	166267	48271
775	166474	48054
776	166682	47838
777	166899	47624
778	167133	47415
779	167339	47198
780	167547	46982
781	167754	46765
782	167961	46548
783	168172	46333
784	168380	46116
785	168585	45899
786	168791	45683
787	169002	45467
788	169223	45254
789	169438	45040
790	169650	44825
791	169857	44609
792	170063	44392
793	170283	44179
794	170500	43965
795	170708	43749
796	170917	43533
797	171131	43318
798	171349	43105
799	171576	42894
800	171780	42677
801	171987	42460
802	172202	42246
803	172425	42034
804	172630	41817
805	172836	41600
806	173042	41384
807	173247	41167
808	173461	40953
809	173682	40740
810	173889	40524
811	174096	40308
812	174302	40091
813	174523	39878
814	174729	39662
815	174933	39445
816	175139	39229
817	175343	39012
818	175563	38799
819	175777	38585
820	175984	38369
821	176189	38152
822	176394	37936
823	176605	37721
824	176809	37504
825	177021	37290
826	177241	37077
827	177462	36864
828	177678	36650
829	177903	36438
830	178111	36222
831	178317	36006
832	178548	35795
833	178754	35579
834	178961	35363
835	179169	35148
836	179378	34932
837	179593	34718
838	179800	34502
839	180033	34292
840	180244	34077
841	180457	33862
842	180687	33651
843	180900	33436
844	181109	33221
845	181315	33005
846	181522	32789
847	181739	32575
848	181945	32360
849	182152	32144
850	182363	31929
851	182567	31713
852	182779	31498
853	182983	31282
854	183190	31067
855	183394	30851
856	183601	30635
857	183807	30420
858	184024	30206
859	184227	29990
860	184440	29776
861	184655	29561
862	184863	29346
863	185084	29133
864	185315	28922
865	185519	28706
866	185727	28491
867	185943	28277
868	186150	28061
869	186355	27846
870	186562	27630
871	186787	27418
872	186995	27203
873	187214	26989
874	187418	26774
875	187647	26561
876	187859	26347
877	188068	26132
878	188278	25917
879	188483	25702
880	188690	25487
881	188899	25272
882	189111	25057
883	189317	24842
884	189525	24627
885	189730	24412
886	189945	24198
887	190155	23983
888	190363	23768
889	190568	23553
890	190775	23338
891	190996	23125
892	191209	22910
893	191423	22696
894	191628	22481
895	191833	22266
896	192038	22051
897	192250	21836
898	192459	21622
899	192668	21407
900	192894	21194
901	193100	20979
902	193311	20765
903	193523	20551
904	193728	20336
905	193944	20122
906	194147	19907
907	194351	19691
908	194561	19477
909	194778	19263
910	194984	19048
911	195191	18834
912	195400	18619
913	195620	18406
914	195849	18193
915	196067	17980
916	196271	17765
917	196475	17550
918	196692	17336
919	196901	17121
920	197111	16907
921	197317	16692
922	197523	16478
923	197744	16264
924	197951	16050
925	198156	15835
926	198365	15620
927	198569	15406
928	198803	15193
929	199008	14979
930	199211	14764
931	199414	14549
932	199618	14334
933	199846	14121
934	200051	13907
935	200256	13692
936	200459	13478
937	200671	13264
938	200901	13051
939	201109	12836
940	201314	12622
941	201518	12407
942	201724	12193
943	201941	11979
944	202163	11766
945	202367	11551
946	202571	11337
947	202775	11122
948	203005	10909
949	203209	10695
950	203411	10480
951	203620	10266
952	203830	10052
953	204043	9838
954	204258	9624
955	204463	9410
956	204671	9196
957	204890	8982
958	205110	8769
959	205314	8554
960	205523	8340
961	205727	8126
962	205940	7912
963	206164	7699
964	206378	7485
965	206581	7270
966	206796	7057
967	207004	6843
968	207219	6629
969	207432	6415
970	207636	6201
971	207844	5987
972	208049	5773
973	208261	5559
974	208468	5345
975	208697	5131
976	208901	4917
977	209114	4704
978	209326	4490
979	209528	4276
980	209732	4062
981	209941	3848
982	210149	3634
983	210366	3420
984	210571	3206
985	210785	2992
986	211000	2779
987	211205	2565
988	211427	2351
989	211631	2137
990	211841	1923
991	212049	1710
992	212257	1496
993	212469	1282
994	212683	1068
995	212895	855
996	213110	641
997	213313	427
998	213525	213
999	213728	0
